rental_id,duration,duration_ms,bike_id,bike_model,end_date,end_station_id,end_station_name,start_date,start_station_id,start_station_name,end_station_logical_terminal,start_station_logical_terminal,end_station_priority_id
58008361,540,540000,89,,9/5/2016 7:28:00,,"Stonecutter Street, Holborn",9/5/2016 7:19:00,,"Sun Street, Liverpool Street",1061,1084,0
57980084,540,540000,6139,,9/4/2016 8:55:00,,"Sloane Avenue, Knightsbridge",9/4/2016 8:46:00,,"Sloane Avenue, Knightsbridge",3461,3461,0
58061000,540,540000,11025,,9/6/2016 17:30:00,,"Westferry DLR, Limehouse",9/6/2016 17:21:00,,"Alpha Grove, Millwall",200238,200109,0
58031459,540,540000,1739,,9/5/2016 19:18:00,,"Mile End Stadium, Mile End",9/5/2016 19:09:00,,"Mostyn Grove, Bow",300056,200174,0
57874543,540,540000,8316,,8/31/2016 23:21:00,,"Shadwell Station, Shadwell",8/31/2016 23:12:00,,"New Road 1 , Whitechapel",200020,1171,0
58058436,540,540000,4407,,9/6/2016 16:43:00,,"Vauxhall Cross, Vauxhall",9/6/2016 16:34:00,,"Storey's Gate, Westminster",1000,200202,0
58041804,540,540000,13059,,9/6/2016 8:21:00,,"Carey Street, Holborn",9/6/2016 8:12:00,,"Birkenhead Street, King's Cross",1139,300212,0
57907048,540,540000,12897,,9/1/2016 18:38:00,,"Poured Lines, Bankside",9/1/2016 18:29:00,,"Museum of London, Barbican",1144,1043,0
57920797,540,540000,8030,,9/2/2016 8:04:00,,"Great Tower Street, Monument",9/2/2016 7:55:00,,"Empire Square, The Borough",1080,1209,1
57952730,540,540000,2213,,9/3/2016 0:02:00,,"Doddington Grove, Kennington",9/2/2016 23:53:00,,"Baylis Road, Waterloo",200084,1133,0
57881700,540,540000,4631,,9/1/2016 8:38:00,,"Moorfields, Moorgate",9/1/2016 8:29:00,,"Chadwell Street, Angel",1092,3471,1
57854171,540,540000,2290,,8/31/2016 15:19:00,,"Wormwood Street, Liverpool Street",8/31/2016 15:10:00,,"St. Bride Street, Holborn",2587,200094,1
57867256,540,540000,1026,,8/31/2016 19:00:00,,"Putney Pier, Wandsworth",8/31/2016 18:51:00,,"Chesilton Road, Fulham",3492,300054,0
57849383,540,540000,14150,,8/31/2016 12:36:00,,"Westbourne Grove, Bayswater",8/31/2016 12:27:00,,"All Saints Church, Portobello",1041,300023,0
58000070,540,540000,9147,,9/4/2016 18:26:00,,"Gloucester Avenue, Camden Town",9/4/2016 18:17:00,,"Charlbert Street, St. John's Wood",200145,3422,0
58045175,540,540000,285,,9/6/2016 9:00:00,,"Baldwin Street, St. Luke's",9/6/2016 8:51:00,,"Holborn Circus, Holborn",3500,982,0
57965180,540,540000,11995,,9/3/2016 13:27:00,,"Phillimore Gardens, Kensington",9/3/2016 13:18:00,,"Gwendwr Road, West Kensington",1018,300097,0
58057811,540,540000,5132,,9/6/2016 16:26:00,,"Ashley Place, Victoria",9/6/2016 16:17:00,,"Lambeth Road, Vauxhall",1122,1078,0
58043687,540,540000,9451,,9/6/2016 8:43:00,,"Appold Street, Liverpool Street",9/6/2016 8:34:00,,"Thurtle Road, Haggerston",997,200093,0
57855791,540,540000,12926,,8/31/2016 16:10:00,,"Farringdon Lane, Clerkenwell",8/31/2016 16:01:00,,"Old Street Station, St. Luke's",3432,1064,0
57970526,540,540000,721,,9/3/2016 15:29:00,,"Queensdale Road, Shepherd's Bush",9/3/2016 15:20:00,,"Turquoise Island, Notting Hill",300088,2682,0
58059758,540,540000,7553,,9/6/2016 17:12:00,,"Cheapside, Bank",9/6/2016 17:03:00,,"City Road, Angel",22180,2690,1
58022239,540,540000,2264,,9/5/2016 16:55:00,,"Finsbury Circus, Liverpool Street",9/5/2016 16:46:00,,"New Globe Walk, Bankside",984,1015,1
57909137,540,540000,7635,,9/1/2016 19:07:00,,"Pott Street, Bethnal Green",9/1/2016 18:58:00,,"Old Montague Street, Whitechapel",200156,200239,0
57909309,540,540000,2638,,9/1/2016 19:09:00,,"New Cavendish Street, Marylebone",9/1/2016 19:00:00,,"Taviton Street, Bloomsbury",200005,1009,0
58005911,540,540000,3509,,9/4/2016 22:16:00,,"Battersea Church Road, Battersea",9/4/2016 22:07:00,,"Flood Street, Chelsea",200201,1218,0
57913156,540,540000,12435,,9/1/2016 20:38:00,,"Vereker Road North, West Kensington",9/1/2016 20:29:00,,"Chesilton Road, Fulham",200116,300054,0
57909862,540,540000,3662,,9/1/2016 19:19:00,,"Belgrove Street , King's Cross",9/1/2016 19:10:00,,"Red Lion Street, Holborn",1011,22171,1
57907039,540,540000,5205,,9/1/2016 18:38:00,,"Royal College Street, Camden Town",9/1/2016 18:29:00,,"Wren Street, Holborn",2686,22169,0
58013389,540,540000,949,,9/5/2016 9:59:00,,"Red Lion Street, Holborn",9/5/2016 9:50:00,,"River Street , Clerkenwell",22171,1023,1
58014427,540,540000,4388,,9/5/2016 11:03:00,,"Great Russell Street, Bloomsbury",9/5/2016 10:54:00,,"Marylebone Lane, Marylebone",988,1152,0
57860874,540,540000,2517,,8/31/2016 17:45:00,,"Duke Street Hill, London Bridge",8/31/2016 17:36:00,,"Newgate Street , St. Paul's",300083,1074,0
57882560,540,540000,6425,,9/1/2016 8:47:00,,"Waterloo Road, South Bank",9/1/2016 8:38:00,,"Webber Street , Southwark",1176,3448,0
57839519,540,540000,13115,,8/31/2016 8:18:00,,"Bell Lane, Liverpool Street",8/31/2016 8:09:00,,"Curlew Street, Shad Thames",200036,1213,0
57994765,540,540000,6427,,9/4/2016 16:11:00,,"Palissy Street, Shoreditch",9/4/2016 16:02:00,,"Regent's Row , Haggerston",3502,200064,0
57845739,540,540000,6431,,8/31/2016 9:55:00,,"Craven Street, Strand",8/31/2016 9:46:00,,"Milroy Walk, South Bank",1160,959,1
58069158,540,540000,5891,,9/6/2016 19:09:00,,"Bell Lane, Liverpool Street",9/6/2016 19:00:00,,"Newgate Street , St. Paul's",200036,1074,0
57864632,540,540000,12830,,8/31/2016 18:27:00,,"Northdown Street, King's Cross",8/31/2016 18:18:00,,"Baldwin Street, St. Luke's",200058,3500,0
57965439,540,540000,14315,,9/3/2016 13:33:00,,"Turquoise Island, Notting Hill",9/3/2016 13:24:00,,"Derry Street, Kensington",2682,3436,0
58058776,540,540000,9935,,9/6/2016 16:50:00,,"Baylis Road, Waterloo",9/6/2016 16:41:00,,"Queen Victoria Street, St. Paul's",1133,1048,1
57850631,4380,4380000,767,,8/31/2016 14:22:00,,"Kennington Road  , Vauxhall",8/31/2016 13:09:00,,"Tyers Gate, Bermondsey",1154,3485,0
58019944,4380,4380000,6001,,9/5/2016 16:44:00,,"Castalia Square, Cubitt Town",9/5/2016 15:31:00,,"Buckingham Gate, Westminster",200155,200178,0
58057920,12060,12060000,3697,,9/6/2016 19:41:00,,"Little Argyll Street, West End",9/6/2016 16:20:00,,"Turquoise Island, Notting Hill",995,2682,1
58067403,3360,3360000,14016,,9/6/2016 19:31:00,,"Albert Gate, Hyde Park",9/6/2016 18:35:00,,"Albert Gate, Hyde Park",1132,1132,1
57983347,7200,7200000,1356,,9/4/2016 13:23:00,,"Montgomery Square, Canary Wharf",9/4/2016 11:23:00,,"Stratford Station, Stratford",200066,300234,0
57867573,2340,2340000,3229,,8/31/2016 19:34:00,,"Pall Mall East, West End",8/31/2016 18:55:00,,"Black Lion Gate, Kensington Gardens",1153,1157,0
57933400,2340,2340000,2426,,9/2/2016 14:17:00,,"Park Lane , Hyde Park",9/2/2016 13:38:00,,"Park Lane , Hyde Park",1037,1037,0
57970666,2340,2340000,4835,,9/3/2016 16:02:00,,"Aquatic Centre, Queen Elizabeth Olympic Park",9/3/2016 15:23:00,,"Aquatic Centre, Queen Elizabeth Olympic Park",300233,300233,1
57861593,2340,2340000,11856,,8/31/2016 18:23:00,,"Tower Gardens , Tower",8/31/2016 17:44:00,,"Waterloo Place, St. James's",1071,3458,1
58069370,2340,2340000,7579,,9/6/2016 19:43:00,,"Shoreditch Court, Haggerston",9/6/2016 19:04:00,,"Royal College Street, Camden Town",200121,2686,0
57870124,2340,2340000,7680,,8/31/2016 20:22:00,,"Cheapside, Bank",8/31/2016 19:43:00,,"Aquatic Centre, Queen Elizabeth Olympic Park",22180,300233,1
57897299,2340,2340000,7572,,9/1/2016 16:47:00,,"Albert Gate, Hyde Park",9/1/2016 16:08:00,,"Albert Gate, Hyde Park",1132,1132,1
58035236,6180,6180000,4499,,9/5/2016 23:26:00,,"Ilchester Gardens, Bayswater",9/5/2016 21:43:00,,"Ilchester Gardens, Bayswater",200086,200086,0
58034632,6180,6180000,5352,,9/5/2016 22:47:00,,"West Cromwell Road, Earl's Court",9/5/2016 21:04:00,,"West Cromwell Road, Earl's Court",1001,1001,0
57944745,1320,1320000,1202,,9/2/2016 18:30:00,,"Smugglers Way, Wandsworth",9/2/2016 18:08:00,,"Charing Cross Hospital, Hammersmith",200113,300018,0
57837136,1320,1320000,945,,8/31/2016 7:53:00,,"North Audley Street, Mayfair",8/31/2016 7:31:00,,"Regent's Row , Haggerston",1126,200064,0
